year,quarter,mean_expo,std_expo,mean_risk,std_risk,mean_sent,mean_pos,mean_neg,n_firms,period,cc_balance,Mkt_RF,SMB,HML,RF,Mom,mkt_vol_4q
2017,2,0.0020751703679931536,0.0036341976082467503,6.935120967051776e-05,0.0002999858751582185,0.0004681287329910141,0.0008486479122807017,-0.00038051919512195126,2336,2017.25,0.001229167107402653,0.029686322923999864,0.002918944327999995,-0.04378565350000008,0.0017009601799997665,0.0188521279999998,0.011465848488867373
2017,3,0.0022034269585286693,0.0041389646829235165,8.799555679769203e-05,0.00034502470519066946,0.0004450418261810313,0.0008365633346556077,-0.0003915214951316264,2771,2017.5,0.001228084829787234,0.04604762261599982,0.012164525675000037,0.007207133185000103,0.0025020705669995813,0.03576534634499984,0.011402663817516505
2017,4,0.002100220289443814,0.0036074972391398432,7.112084298146046e-05,0.00027139441146997175,0.00038962713772228527,0.000782263,-0.00039263586568293605,2643,2017.75,0.001174898865682936,0.0656828742719997,-0.03805176856000003,0.0008990294149999745,0.002602250647999682,0.01630354397000011,0.015581730488314918
2018,1,0.002013113302134647,0.0035319623875127108,7.234044958949098e-05,0.00026318077521052046,0.0004257227881773399,0.0007828926978653531,-0.00035716991888341544,3044,2018.0,0.0011400626167487684,-0.006539288679999977,0.01034077453999993,-0.026104284920000054,0.003403851452000284,0.06615222271999976,0.03060869421879643
2018,2,0.0021254379014186975,0.0038181239181054936,6.872109057839214e-05,0.0002630497921163835,0.0004585895903965078,0.0008174164256093125,-0.00035882681884321575,2749,2018.25,0.0011762432444525283,0.03441574191799979,0.07568012987600015,-0.04895441241399989,0.0042058827440003554,0.020186613529999953,0.03049209721962269
2018,3,0.002046851873938602,0.0035911040094097524,7.425198040496407e-05,0.00029095670972576626,0.0004432651626387982,0.0007951672870672764,-0.00035190212573481386,3060,2018.5,0.0011470694128020902,0.06824456239999988,-0.0337987883619999,-0.05003444624200015,0.004707363840000145,0.037111746319999916,0.03489814302845601
2018,4,0.0020853425061124692,0.003687646295082547,6.916878798463151e-05,0.00026967355928781284,0.00041912655885434857,0.0007827361798812435,-0.0003636096154383514,2862,2018.75,0.001146345795319595,-0.15041052167500013,-0.07581049560999997,0.01760126374399995,0.0056104564980001825,-0.01731548415999995,0.09621332773146092
2019,1,0.0020877497202970298,0.0037693130845232172,7.236359282178218e-05,0.000313718518830933,0.000471564473700495,0.000823482650680693,-0.00035191816707920795,3231,2019.0,0.0011754008177599009,0.13309092793999966,0.01689122626000006,-0.07053785483599995,0.00581119718199985,-0.061059534400000115,0.12159704560378497
2019,2,0.002272340657223796,0.0039419308000850795,8.26611409348442e-05,0.0003460273723356001,0.00039412951062322947,0.0008348231589943344,-0.0004406936660764873,2823,2019.25,0.0012755168250708215,0.03539867792400009,-0.02871351883599982,-0.010098030159999882,0.006011977938000124,0.020812803919999956,0.12163327921297525
2019,3,0.0022009805893939394,0.0038941388824918505,7.548963060606061e-05,0.00030328728695681504,0.00046553638909090913,0.0008502188215151515,-0.00038468244909090906,3298,2019.5,0.0012349012706060606,0.0003958075349999035,-0.05231415386799998,0.021758857400000053,0.0053093454720001265,0.031915297191999814,0.11762144473804415
2019,4,0.0022539462383050846,0.0039004907784935565,8.465110508474576e-05,0.00039656659414982856,0.0004100779840677966,0.0008112113091525424,-0.0004011333308474576,2948,2019.75,0.00121234464,0.08956866019299992,0.01759482774400012,-0.022187516799999862,0.004105582520000262,-0.046678430981999974,0.05856431226152551
2020,1,0.0024299269352413993,0.004012859653813576,9.368862561433941e-05,0.0003369873365822006,0.0005313361104365423,0.0009589260887539752,-0.00042758999508528476,3456,2020.0,0.00138651608383926,-0.20517871620499994,-0.06647171788000017,-0.22276724633199996,0.0037045618720004114,0.14403014122400015,0.12881697896498684
2020,2,0.0016750840202403542,0.002805131557491625,6.794211859582543e-05,0.0002750946068105747,0.00018535893010752688,0.0005889743257432005,-0.0004036154067046173,3162,2020.25,0.0009925897324478178,0.22865744240000008,0.07762431999999975,-0.0830687590000001,0.0002000099999999172,-0.06114539225599991,0.18183132617800143
2020,3,0.0021181856552004333,0.0035749273670952196,8.749125866738895e-05,0.0003469088388749538,0.0003862872703141929,0.0007999255958829902,-0.0004136383225893825,3690,2020.5,0.0012135639184723728,0.09748495445599992,-0.024868271800000064,-0.07016382873599991,0.00030003000099987354,0.11657220365399978,0.18332796308545435
2020,4,0.0025122566551724138,0.003966426560352791,9.622996828817733e-05,0.0003660347541469773,0.000535754023091133,0.000951865921182266,-0.00041611188331280787,3247,2020.75,0.001367977804495074,0.15209181152000006,0.15933301915400033,0.046408207399999846,0.00030003000099987354,-0.17303416458999998,0.19006835750502857
