year,month,quarter,mean_expo,std_expo,mean_risk,std_risk,mean_sent,mean_pos,mean_neg,cc_balance,n_firms,Mkt_RF,SMB,HML,RF,Mom,period,mkt_vol_12m,expo_risk_ratio
2004,2,1,0.001210557177480916,0.001957962552805065,4.439561577608142e-05,0.00017566658390451227,0.0001280357627226463,0.0004073323905852417,-0.00027929645801526716,0.0006866288486005089,1572,0.013999999999999999,-0.015700000000000002,0.0095,0.0006,-0.011699999999999999,2004.0833333333333,0.02667706284091602,0.03667370111430461
2004,3,1,0.001210557177480916,0.001957962552805065,4.439561577608142e-05,0.00017566658390451227,0.0001280357627226463,0.0004073323905852417,-0.00027929645801526716,0.0006866288486005089,1572,-0.0132,0.0173,0.0023,0.0009,0.0019,2004.1666666666667,0.029011685211098634,0.03667370111430461
2004,4,2,0.0011971530345294516,0.002008407330256774,4.3342289776574134e-05,0.0001832971858660538,0.00018024137305348682,0.00040300859444820583,-0.00022276715639810428,0.0006257757508463101,1477,-0.0181,-0.0173,-0.0323,0.0008,-0.053399999999999996,2004.25,0.026217601940588538,0.03620446585023568
2004,5,2,0.0011971530345294516,0.002008407330256774,4.3342289776574134e-05,0.0001832971858660538,0.00018024137305348682,0.00040300859444820583,-0.00022276715639810428,0.0006257757508463101,1477,0.0118,-0.0023,-0.0018,0.0006,0.0149,2004.3333333333333,0.022786771813860997,0.03620446585023568
2004,6,2,0.0011971530345294516,0.002008407330256774,4.3342289776574134e-05,0.0001832971858660538,0.00018024137305348682,0.00040300859444820583,-0.00022276715639810428,0.0006257757508463101,1477,0.018500000000000003,0.0225,0.0121,0.0008,0.0208,2004.4166666666667,0.02280456327274448,0.03620446585023568
2004,7,3,0.0011480256743341404,0.002044713301255019,4.511097276029056e-05,0.00020801287218414022,0.00012365483777239712,0.00038246053934624697,-0.00025880575242130747,0.0006412662917675545,1652,-0.0404,-0.037599999999999995,0.0322,0.001,-0.022400000000000003,2004.5,0.027708378559999552,0.0392943902208599
2004,8,3,0.0011480256743341404,0.002044713301255019,4.511097276029056e-05,0.00020801287218414022,0.00012365483777239712,0.00038246053934624697,-0.00025880575242130747,0.0006412662917675545,1652,0.0007000000000000001,-0.0152,0.0108,0.0011,-0.0155,2004.5833333333333,0.027503090735406455,0.0392943902208599
2004,9,3,0.0011480256743341404,0.002044713301255019,4.511097276029056e-05,0.00020801287218414022,0.00012365483777239712,0.00038246053934624697,-0.00025880575242130747,0.0006412662917675545,1652,0.016,0.0301,-0.0005,0.0011,0.0548,2004.6666666666667,0.026772113487845164,0.0392943902208599
2004,10,4,0.00122367315964802,0.0022769400939769134,4.9123702074167185e-05,0.00028981931659962,0.00016020140351979888,0.0004156275241986172,-0.0002554261835323696,0.0006710537077309868,1591,0.014199999999999999,0.0013,-0.0026,0.0011,-0.0143,2004.75,0.021747260363855807,0.04014445987672986
2004,11,4,0.00122367315964802,0.0022769400939769134,4.9123702074167185e-05,0.00028981931659962,0.00016020140351979888,0.0004156275241986172,-0.0002554261835323696,0.0006710537077309868,1591,0.0453,0.0374,0.015700000000000002,0.0015,0.0308,2004.8333333333333,0.024414091807558175,0.04014445987672986
2004,12,4,0.00122367315964802,0.0022769400939769134,4.9123702074167185e-05,0.00028981931659962,0.00016020140351979888,0.0004156275241986172,-0.0002554261835323696,0.0006710537077309868,1591,0.0342,-0.0003,-0.0023,0.0016,-0.0285,2004.9166666666667,0.02343965010339739,0.04014445987672986
2005,1,1,0.0012401609347079037,0.0021395130609708694,4.279786139747995e-05,0.00018433091626995048,0.00017334546449026346,0.00041413842726231384,-0.00024079295819014892,0.0006549313854524628,1746,-0.0275,-0.0166,0.0206,0.0016,0.0296,2005.0,0.025209887129674133,0.03450992266303558
