year,quarter,Mom
1996,2,0.01691552674400021
1996,3,0.024954918009999938
1996,4,0.01819377674
1997,1,0.005261472591999716
1997,2,0.019635064657000045
1997,3,0.02510019685999998
1997,4,0.037520422525999964
1998,1,0.00965110326499996
1998,2,0.1013941186159999
1998,3,0.05074556934999985
1998,4,0.04231888687700014
1999,1,0.014534021095999883
1999,2,-0.0973969843000001
1999,3,0.11412476108000003
1999,4,0.25856036536999993
2000,1,0.11980432717999978
2000,2,-0.029835038179999884
2000,3,0.07413513958399998
2000,4,-0.004780340631999946
2001,1,-0.08673264650000012
2001,2,-0.05449614732999997
2001,3,0.238982298704
2001,4,-0.1619689072959999
2002,1,0.08857969914499986
2002,2,0.17956072832000003
2002,3,0.15259012475799993
2002,4,-0.13423465623200004
2003,1,0.042587083460000175
2003,2,-0.20090008037500007
2003,3,-0.008978301130000088
2003,4,-0.004159832943999908
2004,1,0.015625338688999957
2004,2,-0.019313009728000097
2004,3,0.015189306559999949
2004,4,-0.012898137460000014
2005,1,0.06949441570400006
2005,2,0.01751014918800009
2005,3,0.05633302486599989
2005,4,-0.0008070755879999725
2006,1,0.01963902814399976
2006,2,-0.015797303799999884
2006,3,-0.0625920773119999
2006,4,-0.005075704599999953
2007,1,0.01428854420600012
2007,2,0.0002798274560000813
2007,3,0.07363593256400014
2007,4,0.13173471641599988
2008,1,0.020769483649999865
2008,2,0.16146317132300014
2008,3,-0.08494869894400003
2008,4,0.09832638557599993
2009,1,-0.10157323403199991
2009,2,-0.3943711029100001
2009,3,-0.18317443617999996
2009,4,0.05976402330000008
2010,1,0.016677536310999885
2010,2,0.0017393063999999736
2010,3,0.032258378255999975
2010,4,0.011029622599999955
2011,1,0.050786754200000006
2011,2,0.012596845400000056
2011,3,-0.024688470400000107
2011,4,0.043000699439999845
2012,1,-0.07047238179400006
2012,2,0.09185172751999993
2012,3,-0.005570483500000001
2012,4,-0.02366736764499988
2013,1,0.012958561888000153
2013,2,-0.013721380146000106
2013,3,0.048544730191999896
2013,4,0.004301600155999896
2014,1,0.003808736189000017
2014,2,-0.023332639870000116
2014,3,0.012625405339999896
2014,4,0.015134800752999888
2015,1,0.03238209619999988
2015,2,0.009467756263999982
2015,3,0.13232607555199993
2015,4,0.023344490965999887
2016,1,-0.07717492159999995
2016,2,-0.00591018052000003
2016,3,-0.06364307535400004
2016,4,-0.04542759317099987
2017,1,-0.03372425217100006
2017,2,0.0188521279999998
2017,3,0.03576534634499984
2017,4,0.01630354397000011
2018,1,0.06615222271999976
2018,2,0.020186613529999953
2018,3,0.037111746319999916
2018,4,-0.01731548415999995
2019,1,-0.061059534400000115
2019,2,0.020812803919999956
2019,3,0.031915297191999814
2019,4,-0.046678430981999974
2020,1,0.14403014122400015
2020,2,-0.06114539225599991
2020,3,0.11657220365399978
2020,4,-0.17303416458999998
2021,1,-0.09809944012000016
2021,2,0.03904083581599993
2021,3,0.017881240573999868
2021,4,0.018188182592000057
2022,1,0.02116302943199999
2022,2,0.08840570300000006
2022,3,0.00984262777999989
2022,4,0.07148464669999988
2023,1,-0.17689775027499988
2023,2,-0.018487433728000102
2023,3,-0.001048984443999812
2023,4,-0.014935311856000055
2024,1,0.10231706143999997
2024,2,0.0025567884799999607
2024,3,0.017124138170000025
2024,4,0.03717909999999991
2025,1,-0.027116244351999996
2025,2,0.04457385303200012
2025,3,-0.0005288515060000165
2025,4,-0.03907869874000003
2026,1,0.06355968000000023
